"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Alox5ap",226.527702726911,2.58252065285014,0.209620436202508,7.54945787500087,4.37073728210885e-14,3.76634325882516e-12
"Alpk1",75.1877103628137,1.6609421398683,0.132846510718226,4.97523146294889,6.51697212325705e-07,1.77794270157645e-05
"Alx1",126.706683396431,2.96214643430413,0.573418153466253,3.4218421974316,0.000621984012852023,0.00846079921794048
"Ammecr1",196.940955313956,2.64362483693241,0.203969801183519,8.05817737427504,7.74403962915428e-16,8.75613636912641e-14
"Angptl3",163.072801710237,-2.51794103057663,0.345152125594822,-4.39788985207802,1.09308425331341e-05,0.000229665102890049
"Angptl4",374.619371168739,1.90988847206117,0.317073302199757,2.86964706819729,0.00410930184315661,0.0433629834710286
"Ankle1",49.3722885692236,2.10192420688003,0.320904645746423,3.43380571607793,0.000595170622559481,0.00814135143208812
"Ankrd1",377.962259881429,4.58542608450726,0.388795602347585,9.22187921586077,2.91938193676765e-20,6.6402360540828e-18
"Anln",541.59741796731,2.74496762628802,0.275717194297167,6.32883136191824,2.47024900091449e-10,1.24217328295343e-08
"Anpep",2353.21103846515,-1.609125051968,0.213319333150075,-2.85546107318582,0.00429743905681704,0.0449530510109081
"Anxa1",600.036983452031,2.43574065775226,0.209067458912506,6.86735594922549,6.540273858016e-12,4.07434066677232e-10
"Anxa2",4355.97011748803,2.88455060893213,0.187888449202466,10.0301568134258,1.12338048031477e-23,3.9953537409886e-21
"Anxa3",1132.39285450238,2.82926438382222,0.208555040403909,8.77113485379913,1.7687445749018e-18,3.29508691710992e-16
"Aoc1",1367.6056848766,5.05034911831147,0.317374303208358,12.7620575370035,2.6705272698815e-37,3.73129885186801e-34
"Apaf1",273.553073260069,1.87027475429646,0.142950248256973,6.08795552933929,1.14361624604082e-09,5.1190566107104e-08
"Apbb1ip",143.322325952655,2.97266990359426,0.228288220179863,8.64113751484872,5.56560793158394e-18,9.80800511258679e-16
"Aplnr",368.115712545937,2.10858754613718,0.203520672899492,5.44705130119461,5.12116963189305e-08,1.77301237468071e-06
"Apoa1",7.21663348392859,-3.27204771407802,0.57952629049649,-3.9205256971716,8.8356013234902e-05,0.00150551565756787
"Apoa2",40.0938261044372,-1.72267223622199,0.211552638705357,-3.41603981233484,0.00063538956794722,0.00862399499886905
"Apob",2107.76385610148,-2.04778378951415,0.292407199537437,-3.58330366410832,0.000339275800550624,0.00497121643039007
"Apobec1",176.143480661831,1.97608984730161,0.181168335865116,5.38775080446908,7.1344877969563e-08,2.36138266998752e-06
"Apobec3",720.11101272685,1.81028749406758,0.146638476004321,5.52574955868818,3.28081855776795e-08,1.17109656584852e-06
"Apobr",112.32331851917,2.27321918170388,0.209317522695564,6.08271665605215,1.18163062422951e-09,5.26511996367962e-08
"Apoc2",21.1569048249213,4.16044734576139,0.507037756403323,6.23315977133548,4.57119523205098e-10,2.19028074797613e-08
"Apoc3",163.484611650914,-3.0549763331925,0.477046831814703,-4.30770355475435,1.64958264940808e-05,0.000334378095389341
"Apoo",868.575577713396,-1.59426741959496,0.140258610609448,-4.23694072693836,2.26585920536509e-05,0.00044590011988075
